complexity,algorithm,samples,reward,b
12,MCTS,54,5.0,8
12,MCTS,60,7.0,8
12,MCTS,66,10.0,8
12,MCTS,6,1.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,2.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,6.0,8
12,MCTS,66,6.0,8
12,MCTS,6,5.0,8
12,MCTS,12,5.0,8
12,MCTS,18,5.0,8
12,MCTS,24,5.0,8
12,MCTS,30,5.0,8
12,MCTS,36,5.0,8
12,MCTS,42,5.0,8
12,MCTS,48,5.0,8
12,MCTS,54,5.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,10.0,8
12,MCTS,6,2.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,10.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,4.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,5.0,8
12,MCTS,66,5.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,4.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,3.0,8
12,MCTS,66,3.0,8
12,MCTS,6,5.0,8
12,MCTS,12,5.0,8
12,MCTS,18,5.0,8
12,MCTS,24,5.0,8
12,MCTS,30,5.0,8
12,MCTS,36,5.0,8
12,MCTS,42,5.0,8
12,MCTS,48,5.0,8
12,MCTS,54,5.0,8
12,MCTS,60,7.0,8
12,MCTS,66,7.0,8
12,MCTS,6,5.0,8
12,MCTS,12,5.0,8
12,MCTS,18,5.0,8
12,MCTS,24,5.0,8
12,MCTS,30,5.0,8
12,MCTS,36,5.0,8
12,MCTS,42,5.0,8
12,MCTS,48,5.0,8
12,MCTS,54,5.0,8
12,MCTS,60,5.0,8
12,MCTS,66,9.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,4.0,8
12,MCTS,66,5.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,10.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,3.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,9.0,8
12,MCTS,6,1.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,2.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,4.0,8
12,MCTS,66,4.0,8
12,MCTS,6,7.0,8
12,MCTS,12,7.0,8
12,MCTS,18,7.0,8
12,MCTS,24,7.0,8
12,MCTS,30,7.0,8
12,MCTS,36,7.0,8
12,MCTS,42,7.0,8
12,MCTS,48,7.0,8
12,MCTS,54,7.0,8
12,MCTS,60,7.0,8
12,MCTS,66,7.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,4.0,8
12,MCTS,6,2.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,5.0,8
12,MCTS,66,5.0,8
12,MCTS,6,7.0,8
12,MCTS,12,7.0,8
12,MCTS,18,7.0,8
12,MCTS,24,7.0,8
12,MCTS,30,7.0,8
12,MCTS,36,7.0,8
12,MCTS,42,7.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
12,MCTS,6,1.0,8
12,MCTS,12,1.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,7.0,8
12,MCTS,60,7.0,8
12,MCTS,66,7.0,8
12,MCTS,6,3.0,8
12,MCTS,12,3.0,8
12,MCTS,18,3.0,8
12,MCTS,24,3.0,8
12,MCTS,30,3.0,8
12,MCTS,36,3.0,8
12,MCTS,42,3.0,8
12,MCTS,48,3.0,8
12,MCTS,54,3.0,8
12,MCTS,60,3.0,8
12,MCTS,66,3.0,8
12,MCTS,6,1.0,8
12,MCTS,12,1.0,8
12,MCTS,18,1.0,8
12,MCTS,24,1.0,8
12,MCTS,30,1.0,8
12,MCTS,36,1.0,8
12,MCTS,42,1.0,8
12,MCTS,48,1.0,8
12,MCTS,54,1.0,8
12,MCTS,60,1.0,8
12,MCTS,66,2.0,8
12,MCTS,6,2.0,8
12,MCTS,12,2.0,8
12,MCTS,18,2.0,8
12,MCTS,24,2.0,8
12,MCTS,30,2.0,8
12,MCTS,36,2.0,8
12,MCTS,42,2.0,8
12,MCTS,48,2.0,8
12,MCTS,54,2.0,8
12,MCTS,60,2.0,8
12,MCTS,66,10.0,8
12,MCTS,6,10.0,8
12,MCTS,12,10.0,8
12,MCTS,18,10.0,8
12,MCTS,24,10.0,8
12,MCTS,30,10.0,8
12,MCTS,36,10.0,8
12,MCTS,42,10.0,8
12,MCTS,48,10.0,8
12,MCTS,54,10.0,8
12,MCTS,60,10.0,8
12,MCTS,66,10.0,8
